file,linear_r2,rf_r2,ada_r2,mlp_r2,linear_mae,rf_mae,ada_mae,mlp_mae,linear_rmse,rf_rmse,ada_rmse,mlp_rmse,linear_aggregated_r2,rf_aggregated_r2,ada_aggregated_r2,mlp_aggregated_r2,linear_aggregated_mae,rf_aggregated_mae,ada_aggregated_mae,mlp_aggregated_mae,linear_aggregated_rmse,rf_aggregated_rmse,ada_aggregated_rmse,mlp_aggregated_rmse,num_rows,mean_speed,std_speed,duration_mean_s,speed_points_mean
863609060548991.csv,0.7486022591411714,0.7352792852898045,0.7700477834589025,0.7763117155515641,25.976686594280274,26.33087534018635,24.01119169065781,23.36052149975482,35.07140063095706,35.98871900260785,33.54217536622709,33.08217422534988,0.8902236046205564,0.8811989538632562,0.905477591296428,0.9062584661989045,35.46631683386497,37.05177253610867,31.88365203510471,31.37006275726718,49.821180678183424,51.82862231425091,46.230322426661225,46.03896586514888,4254,49.812516302739866,7.90265514104883,62.05665890926187,6.29901269393512
863609060549064.csv,0.7053555905798432,0.7120478346326697,0.7261157464972157,0.7361350214227294,19.231790505929258,18.92502331125343,17.860079747192252,17.56555006024732,25.225024267037217,24.936911527038045,24.32013728096368,23.871151348038474,0.892878966532556,0.8936408419576097,0.9016563321337322,0.9089151136992435,28.401014795468317,28.316497925646168,26.524556444886926,25.705604490419713,39.20296564160572,39.06330552125245,37.562522190573944,36.14970064345567,3827,55.690368900840575,7.6232085598315225,61.72198170891038,6.130650640188137
863609060549072.csv,0.5875494047756271,0.5851717642624268,0.6065357682999861,0.606317990511787,15.814077700692486,15.880240989315203,15.416169460025346,15.194929879717716,21.16865167713813,21.22957911515531,20.675682703175568,20.68140378429282,0.8461646074296918,0.8432933764659081,0.8553510473748518,0.8546540734354006,20.236791945229594,20.295051846249166,19.785383506309802,18.853969735195044,30.113965989042,30.393694936577816,29.200982913955624,29.27124912154518,4965,48.0249645561114,7.854734909329191,66.87815427995972,6.394159113796576
863609060549098.csv,0.4598838143042264,0.466684889971988,0.48998728929388413,0.5139723295640419,18.661273385185243,18.514005264820177,18.04439994545949,17.323552619451764,24.54534616757806,24.390320636737247,23.851520249500528,23.283918098602808,0.7507564565847188,0.7549250950982533,0.7737534439000405,0.7875747415081669,25.76109290673645,25.848330010210486,24.816444477271638,23.818385181065175,36.228360711700475,35.924120639899314,34.516576446276105,33.4456624600572,3479,41.214697923657596,6.609533611439074,62.34321586662834,6.319632078183386
863609060549163.csv,0.5683623949204251,0.5660523694185515,0.5829091584856487,0.5972770602275643,29.319751965193447,29.511195252576254,28.92942608556225,28.2318962805533,37.955365845267686,38.05679452861959,37.31031121509767,36.6620486172723,0.8994691285480186,0.8921978130244471,0.8973024198355871,0.9049517826059379,39.31964928480165,41.16138339086746,40.31124091850727,38.693120272654404,52.31110697702197,54.16989234693344,52.87182386329049,50.86466340072382,3459,64.23348636214504,8.038541765999675,65.91790315119977,7.219427580225498
863609060553744.csv,0.7350942871326807,0.7609831316964293,0.7785900277462567,0.7896355034371523,19.510522610313743,18.576309781251062,17.624065538083695,16.82343825269461,25.46999795585164,24.193434427545334,23.28529995328272,22.697052941055308,0.8862261249551396,0.9055199619601266,0.9165108185281462,0.9245271700696498,28.611701372231256,26.417597204510106,24.499950796688992,23.025410516117766,38.9390165004508,35.48409496501885,33.35637170721259,31.714584095295688,6327,63.44600901170253,7.536666411548684,68.7694069859333,7.445550813971867
863609060555335.csv,0.6312776835472933,0.63520957710124,0.6432929901772705,0.6594396343152102,13.430571698411194,13.281875189036253,13.159065651112307,12.74094809567342,17.95369794637662,17.857716191505006,17.65875269853222,17.254455322334646,0.8535213657495935,0.851528840637696,0.8565332344540266,0.8656672314372895,17.30474567145645,17.00134865997142,16.75483204425581,16.127420034478693,23.739034072282493,23.899947815519766,23.49370744544001,22.733530446906116,4878,42.106993385726994,7.610184870189919,72.39790959409595,6.449159491594916
863609060555871.csv,0.05579071351416076,-0.1720042701545108,-6.782493238897914,0.12612440931232427,23.202973977260594,24.912048162236665,32.64751158900455,22.43389664377485,38.96215002967478,43.40835994173765,111.85828503428621,37.4829345798001,0.2948005000070224,-0.04529914407730429,-4.380980980446016,0.2494463231135451,30.378980021264244,32.67826320150992,43.82988301932218,28.799653069178262,48.909051051031746,59.54612929999186,135.10268097279805,50.45731274702868,418,44.52739103721341,8.088563676058628,94.03826794258373,7.382775119617225
863609060559451.csv,0.5174838604828864,0.511256583556144,0.5405625331090843,0.5497720168753774,23.591935506072478,23.612464186154316,22.959763541985414,22.627075407563186,30.156720892889112,30.350695979716455,29.426688952515452,29.13026506578025,0.827234443286079,0.819145426654698,0.8311064579798108,0.8350327618199893,30.825441298935534,31.66897939687811,30.765005400276394,29.838108793119105,41.744057473862036,42.71012332362058,41.27362363458454,40.79105422165749,3280,76.4468094762818,10.237191910872658,83.31433140243902,7.327134146341463
863609060559592.csv,0.755839926999468,0.7643396554603221,0.7791378289220592,0.7872726732898588,16.27318596077081,16.060654724719374,15.236775871521008,14.569449251100378,24.228754596971662,23.803291891966758,23.043818004254057,22.615459145220257,0.892699639317804,0.9000164571822574,0.9120071171671061,0.9152610252142215,24.243600445811456,23.49799715813175,22.014866975269605,20.887452783255743,37.172007723433154,35.88225172209978,33.66194460541772,33.03368555828544,10487,40.42504674201959,6.468997093148024,65.34805530657003,5.710880137312864
863609060562695.csv,0.7095014019273562,0.7245582110652058,0.7390046325771513,0.7366552713811598,15.598833347185387,15.149508187872602,14.68841788989338,14.788407364100816,20.650226682853656,20.107946364545498,19.57353209794021,19.661430737148144,0.8784907297112854,0.8884833998803244,0.8984751771464086,0.9030475007715627,20.46422047781609,19.272414711681606,18.385191114065066,18.67644226666793,29.538004212332172,28.297378369781697,26.999925255831236,26.38492998552667,2735,49.70234976352888,7.983587957100046,68.31883217550273,6.249360146252285
863609060564410.csv,0.8205181012486861,0.8501186339937609,0.8680900957484201,0.8701546549963088,33.68343868016835,29.962962264116186,27.73269860655247,27.30213050065936,42.57663267830484,38.90763243468921,36.50057328791819,36.213806393394776,0.922844212565467,0.937159563426394,0.9467245699212099,0.9465346625315858,49.031316414447744,43.12599128811442,39.62175004640993,39.850901038245816,65.813670754106,59.39521476852714,54.688415725747255,54.78580110004336,5403,81.53386568465498,9.055384998909394,64.2528310198038,6.48121414029243
863609060567082.csv,0.7900944472027074,0.8177971761953876,0.8313719302082883,0.835636548995824,30.972014191118646,28.253389966491614,26.454009560568874,25.6606577610483,40.81763331682503,38.02886886392249,36.58480887917852,36.119229870426544,0.9186327318566717,0.9331794421909001,0.941009151204125,0.9411096695646226,44.56527551503478,40.50368390363314,36.897782906791754,35.5481834087557,62.34064420644938,56.493888266049055,53.08095658986752,53.03571325381215,3917,66.68265110407923,8.003939077553627,64.36815930559102,5.646157773806484
863609060567744.csv,0.7600768420097554,0.796023936249932,0.8076718775417031,0.814765725126755,33.49343305938261,30.595440055664692,29.01485483846036,28.13047915082776,42.43130248470981,39.123696565512596,37.99020828276681,37.283008802586295,0.9160414375267317,0.9311036843070135,0.9371982457648924,0.9402818775721206,44.561783713525784,40.77464189641878,37.72351677811577,36.23929441379254,60.53668395813925,54.83831852466877,52.356670188918834,51.05510845964597,5036,74.8193923853503,8.048048897735821,61.55759312946783,6.0818109610802225
863609060567785.csv,0.35721299631301306,0.3485702406972513,0.36164674794325957,0.35826587471337856,17.7902523720912,17.951496229242995,17.80567240118907,17.590945504217437,22.81362881872231,22.9664899162327,22.734811890972967,22.794936918402897,0.7882537224860554,0.7832788349984176,0.7878006480823997,0.7856923329648219,23.35086697135359,23.806303814817923,23.56198009461228,23.392782207296676,31.630641600478203,32.00005851770973,31.66446362652656,31.821376606188956,8248,57.726975205821596,7.248875309464469,63.79510717749758,6.19119786614937
863609060568353.csv,0.7001755586700822,0.6922747066719485,0.7158794702845344,0.7343122813446146,8.097607175604464,8.203733235106975,7.98362051848503,7.433990175206368,10.935957063635584,11.079110069682168,10.6457089304626,10.294589170127809,0.8936475323212768,0.8861974283809897,0.9007764880969749,0.9085760607785995,11.423545418885517,11.777839494612762,11.051937063763443,10.31484538102087,15.589653273713628,16.126447558436208,15.058092748502292,14.454152604842685,6537,24.410428261377586,5.924384682963121,63.4037307633471,5.551017286216919
863609060568361.csv,0.5137621616611872,0.5172021963007267,0.5264234268696855,0.5580661413407424,21.193382792056433,20.98305026379284,20.846407211003903,19.904828012744083,27.458285422728128,27.36098210118336,27.09843090360948,26.177470401098375,0.8045392244275517,0.8078799191804065,0.8157103072794621,0.8267201704613745,27.30222609063261,27.435381912835496,27.14062519289025,25.93230461436797,37.024295439185856,36.70653365501182,35.95071373312462,34.86029034649168,3159,58.088756826362705,7.876095492797449,74.01646565368787,7.850269072491295
863609060568601.csv,0.5019170693702224,0.5076506429780533,0.5165125262863299,0.5323258163719434,29.15013190521912,29.48919375077547,29.275301645073984,28.251093980277137,39.18933849106006,38.96312582283606,38.610881496151954,37.97421472714906,0.7764489120907705,0.7828931392364202,0.7882031776564145,0.7953199744681834,44.598499064978604,44.715021595247016,44.040042312746934,42.67484937546326,63.83054203756284,62.903804429693146,62.1297861138954,61.07702428679538,7245,53.31418476430366,6.356734423989573,63.253980676328496,6.79296066252588
863609060568791.csv,0.46336781155813034,0.4412503118099431,0.4641726154316794,0.48399283010735605,18.5840205064423,19.382505135065514,19.007353525853485,18.179276784261067,24.02985778670388,24.52005770524439,24.01183186556877,23.563549392868065,0.8476892366354792,0.8359987267694493,0.8468731323045678,0.8554237043595714,26.008227766449995,27.56520484635837,26.577876601518582,26.00410358823579,36.13322143025196,37.49427798688147,36.229895763630104,35.203831336965045,2833,63.913045429961215,9.046434068832081,65.06601341334274,6.593363925167667
863609060574518.csv,0.5547754602231909,0.5945916768206962,0.6211459052992154,0.662453548926736,26.94335021704037,25.377676933063412,24.55888915719834,22.52624014836208,34.55080802104265,32.96969973763209,31.871657839485298,30.083989936004382,0.8219467357602328,0.8377685580067035,0.8523504115492248,0.8777868982208862,38.664507621669905,36.79997893037547,35.536851860221354,31.349168467327832,51.42288797937691,49.08502401208371,46.82713786562878,42.603019105678314,4708,62.60187191512992,9.569085441519103,65.12660322854715,6.2727272727272725
863609060574526.csv,0.5855336134255388,0.6069911431058671,0.6258622388311618,0.6400443785406265,31.228705663313857,30.421063365124983,29.072731032640526,27.8012517967129,40.43396227420031,39.37339040086612,38.41646643008108,37.68132141694052,0.8322277824536036,0.8462276567443915,0.8562499126563978,0.869409539099022,46.10767672932865,44.03232469313981,42.10037271832515,39.7837747046091,61.04573714582965,58.44326039644696,56.50662627076392,53.85810233980649,6011,68.9749832888027,9.633886246516482,64.9090089835302,7.05839294626518
863609060574567.csv,0.7275292772161096,0.76147936015864,0.7769537033048762,0.7889463902342279,29.776211761594926,28.07511407913454,27.097729653185535,25.064183929937418,41.14004148758644,38.491761507218335,37.2222234463366,36.20772146164844,0.8855563318970491,0.900674782540532,0.9100243581566653,0.9195262360853556,40.05735695191468,37.642339882666924,35.68032523509002,32.44744681122397,58.075857840831155,54.104017038420096,51.49466362730866,48.69976956031775,4013,69.55030750069861,8.838274379973774,72.64790156989783,6.918514826812858
863609060574583.csv,0.575410767297757,0.5964881165188949,0.6098685325278329,0.6224581845268549,18.85581106317935,17.675221676026226,17.58396256144687,16.771522660269838,24.2409979071688,23.63165677988913,23.236541918188564,22.858542507799907,0.849820214176876,0.8550050292435397,0.8639122898134142,0.8615391522750719,25.53937065555815,24.686174882190663,24.20803143227396,23.06849685593031,36.50559841272436,35.869902895572025,34.75067021474859,35.05235688074209,1653,73.2143813332826,8.790542741187304,77.52147912885661,7.4162129461585
863609060574609.csv,0.6414188807036545,0.6585848338434028,0.6749662732712549,0.6797592945929336,26.024951683331043,25.724541390089815,24.795513985735607,23.988038972630367,34.268237298948044,33.43793590416718,32.6258826703583,32.384434907336576,0.8752433335793597,0.8817038999560967,0.8915228475704127,0.8889273931805464,36.14443238467659,35.88667706947847,34.11551830507779,33.47712203998055,49.30411135271636,48.01052646969129,45.974857615506146,46.52161009706719,7568,67.46007409526588,7.680012621249852,67.3603348308668,7.23004756871036
863609060574633.csv,0.5539834155738994,0.5284618304319908,0.5581626555807948,0.5554531099838116,28.542555366349436,29.121403582379738,28.00242924591204,27.500468635362044,37.56248207539314,38.62221747619238,37.38608493696121,37.50054388237224,0.8229591000571232,0.8124312919046058,0.8276883061237692,0.8303488073893283,41.14705209046047,42.22703351285971,40.43555350105813,39.06234470642719,57.02759104532189,58.69869091889868,56.260760462263335,55.82473636341406,4839,54.28636092674547,7.360507280058949,63.026871667699936,6.432114073155611
863609060574765.csv,0.5972543234078016,0.5814716024387265,0.6041330497879889,0.6360571752590636,22.700866806026617,23.625491694873265,22.488379116789694,21.262768598418162,31.54174555888046,32.153832559003476,31.271225633698,29.983813044401927,0.8148213220423853,0.799222899852667,0.8141680504562975,0.828073132576697,29.495499388385717,31.38509260524498,29.725887398036193,27.996860213468867,44.370033153594974,46.20099750291406,44.448228341593044,42.752955103118765,3858,65.26193879224014,7.76030838365268,86.01763322965266,7.436236391912908
863609060584681.csv,0.721529830426362,0.7433254339225462,0.7446959538195744,0.7631454742009534,39.209058958690335,36.53040721212524,36.28840607213902,34.38483370801559,50.35929440052197,48.34835642250921,48.21910506190791,46.44416300252924,0.9009276029749149,0.916993087676285,0.9170484001440667,0.9276369135521262,60.977874510536815,55.354483648261144,54.99310853792293,50.77609088923364,83.19078587462805,76.1475651688096,76.12219010351188,71.09800795135857,4392,78.37439155516503,8.372830318064487,64.8321985428051,6.149590163934426
863609060584707.csv,0.8146017240033427,0.8551791014803349,0.8704565668106099,0.8805829265244511,25.0237975541743,21.843408812772065,20.093662740309902,19.037461905869215,31.514259424812973,27.85286530579005,26.34280162603057,25.292250355742876,0.9181866734272941,0.9448143690394996,0.9544603541541331,0.9588658143542459,38.686838545557315,31.25495716705709,27.801224052962226,26.31985052381309,50.06599954079279,41.119125657968674,37.3530173565612,35.500324029808134,5771,67.7326800293876,8.72433086508412,61.38624536475481,6.179171720672327
863609060586827.csv,0.6993707394905285,0.7113104381119664,0.7262619680440191,0.7345782166767432,26.941262777128813,26.301233146306174,25.086779485220013,24.766168365478517,35.91780936053152,35.19733303597939,34.27376282109197,33.74912349340647,0.9134428645031896,0.9217212133917978,0.9283734071937394,0.9307489712316581,36.378407320525305,34.23932752999704,31.58990638045756,31.03322075052959,51.11355316202317,48.607879636607954,46.49666249852222,45.7191080487206,3247,83.75423312235364,8.690729812073322,65.37727379119187,6.820141669233139
