file,linear_r2,rf_r2,ada_r2,mlp_r2,linear_mae,rf_mae,ada_mae,mlp_mae,linear_rmse,rf_rmse,ada_rmse,mlp_rmse,linear_aggregated_r2,rf_aggregated_r2,ada_aggregated_r2,mlp_aggregated_r2,linear_aggregated_mae,rf_aggregated_mae,ada_aggregated_mae,mlp_aggregated_mae,linear_aggregated_rmse,rf_aggregated_rmse,ada_aggregated_rmse,mlp_aggregated_rmse,num_rows,mean_speed,std_speed,duration_mean_s,speed_points_mean
863609060548991.csv,0.7648884191681151,0.7491186142209827,0.7786165080289137,0.77828200919726,23.948854300961074,23.976487989021948,22.314562543276836,22.00284657032169,32.02847756459452,33.085180219050606,31.079348148446062,31.102818917564708,0.9113755047831366,0.9044450473236436,0.9193460082768579,0.9157573946569335,34.524891739031425,35.03553842563424,32.219106544519924,31.863465732008546,47.43332654651378,49.253068986996055,45.250108940142816,46.245831319975764,4271,47.594642139983996,7.954085855305267,62.91150760945914,6.208147974713182
863609060549064.csv,0.7378762329506852,0.7471667077448467,0.7701698700815756,0.769949699383431,19.440923928331962,19.068571532759112,17.737543438430997,17.50956730887144,25.554839854250357,25.097883165561722,23.928939111893246,23.94039798823717,0.9174837244179582,0.9197797117721486,0.9245294355123459,0.9238773778860379,27.402450146710386,27.987355386695313,25.716571860064157,25.146505881405943,38.93990627767964,38.394339616975365,37.240361855738875,37.40089223702886,3976,55.20774374676017,7.636066277102474,62.59734683098592,6.0269114688128775
863609060549072.csv,0.4965364352591942,0.4827759471367846,0.5004699364081541,0.5045176053982308,14.909308208816325,15.050522897529683,14.797263891806615,14.521500352758485,19.627214145348834,19.893628072253097,19.5503912503517,19.471022184544047,0.7864930570697237,0.7817685866185734,0.7889976046121512,0.7944118050127832,18.916914219872538,19.170825494148225,18.81963881761314,18.356827879464756,26.702566674773138,26.99638665852031,26.545487158633396,26.20270297276355,4815,45.44907165736054,7.762588950553869,69.26418151609553,6.435929387331257
863609060549098.csv,0.4989952761928138,0.503086776116309,0.5236632254065434,0.545586217685649,17.74788090722628,17.900086372832646,17.404848721523457,16.826993189932786,23.62363665983394,23.526976637884967,23.034718001847033,22.498397808593445,0.7644250203287304,0.763438644106114,0.7855718089657033,0.7982432086278499,26.095228796874295,26.519850045176796,25.14149063016117,24.508937346140545,36.52799162366155,36.60438493489327,34.84994959514603,33.80456055415329,3501,40.97110834624336,6.615782879670855,64.26879234504428,6.299914310197087
863609060549163.csv,0.5898992360029962,0.5962961809736946,0.5922352605308754,0.6028771109032403,27.508192318719637,27.661019827154693,27.57578405805798,26.89219801089262,35.346431383646,35.06967274229699,35.24561707352984,34.78265618896811,0.8941028231885068,0.8886479118566128,0.8847732004403909,0.8985276569472579,35.331291408465304,36.7628875787,36.96414494279499,34.47414917785684,45.76827605016732,46.9322684293992,47.74183559340826,44.80187679955871,3467,64.08630975203795,8.046370750482398,66.89501759446208,7.210268243438131
863609060553744.csv,0.7409037410153316,0.7684345383409242,0.7899409873441479,0.7984730885494099,20.98757040697688,19.479947149281017,18.381361615064392,17.80489292983211,27.389276807418955,25.89326917628477,24.661566184779645,24.155527090543565,0.8823247376538224,0.9044556234233191,0.9201370398846346,0.9251629110954959,31.665478183944305,28.64455634279385,26.538672596012336,25.109089247763418,43.35674057224402,39.06758841861276,35.71796767099178,34.5758193899268,6454,64.27219376733649,7.5364010712451925,70.16037108769756,7.425627517818407
863609060555335.csv,0.5681080971069095,0.5726064105510451,0.5746337868993124,0.5888870897286002,12.955139142836911,12.794590551443457,12.814056688541068,12.409375741780117,17.057926899103336,16.968862081663424,16.928567649276552,16.64252720552125,0.8230850300951535,0.8223483393785715,0.8239839795877035,0.8346140440115273,16.531708991748072,16.570013683583078,16.649986106994575,15.954764007870617,22.609563313878706,22.65658859347909,22.552047716949136,21.860454993174535,4753,39.8392316648675,7.499825007337754,74.58426278140124,6.480328213759731
863609060555871.csv,0.4350505492504275,0.4847835990132807,0.4518136805346108,0.5000017222439928,14.156333820895867,13.09137606509451,13.238074188851426,12.687323035263434,18.61955245403679,17.78112693628417,18.341233467670445,17.516554987434773,0.6385539140241292,0.6940221992368667,0.6568387074554334,0.6835299905139961,18.083543827601922,15.46249056105216,16.426986015463275,15.451200689588275,23.07888789326407,21.23430611284386,22.487556210369466,21.595307601591596,407,44.100331664235355,8.107830340281533,93.07370024570024,7.2653562653562656
863609060559451.csv,0.5440366002932755,0.5175759479938965,0.5547622455877418,0.5754127658228027,23.506976237070166,24.08826414540602,23.235099334542856,22.298741520340762,30.437903624729373,31.308641380632693,30.077777192167826,29.371979214498747,0.8416704864611646,0.8173053659783811,0.834824614270588,0.8518162924606845,29.265616568558666,30.989992631395864,29.863086339384335,27.91768608278441,39.04176318485923,41.938353880097345,39.87687793872474,37.77015024602379,3348,75.36714439791277,10.234802357832738,84.63023058542413,7.260752688172043
863609060559592.csv,0.6136470868809465,0.5976191822630382,0.6140415786175075,0.6131628214414502,11.685477521924085,11.996122007968141,11.826969527236333,11.52567889871638,16.2040731602602,16.536771830500584,16.19579833517781,16.21422529701073,0.7849001180994305,0.7789100098928329,0.7887740458084761,0.7810275535056328,16.741456715123196,17.2496667724638,16.798321873847456,16.56175406599045,24.020966185930536,24.35313779150855,23.803675777343177,24.236233121773346,9337,31.485527326028162,6.293447779456786,67.18775152618615,5.872442968833672
