file,linear_r2,rf_r2,ada_r2,mlp_r2,linear_mae,rf_mae,ada_mae,mlp_mae,linear_rmse,rf_rmse,ada_rmse,mlp_rmse,linear_aggregated_r2,rf_aggregated_r2,ada_aggregated_r2,mlp_aggregated_r2,linear_aggregated_mae,rf_aggregated_mae,ada_aggregated_mae,mlp_aggregated_mae,linear_aggregated_rmse,rf_aggregated_rmse,ada_aggregated_rmse,mlp_aggregated_rmse,num_rows,mean_speed,std_speed,duration_mean_s,speed_points_mean
863609060548991.csv,0.6978666738843299,0.6965943046966784,0.7163703429290653,0.7200015009567546,28.61811750260745,28.93647515175215,27.24484276681697,26.763744025168442,38.753515185054226,38.83503047993496,37.54806888099316,37.30694076602573,0.8842997390257994,0.877838532510264,0.8895560357693251,0.8900572260352593,40.18558536997223,40.372573049727585,38.283333219593565,37.49081725232742,55.81012669535055,57.34729791985121,54.52765644498926,54.40379360855895,4039,51.406405999989474,9.202354819106706,61.996538994800694,3.3161673681604356
863609060549064.csv,0.692604533728246,0.6913120635001542,0.7229251740357123,0.7306650228302569,20.125815607967585,20.275864405493724,18.594543331393016,18.231822571566827,26.03673062980867,26.09141003171921,24.7193049725102,24.37160324244765,0.8941690498853441,0.8865268720467512,0.9018165719209188,0.9046548722891959,28.895433807541096,29.889255412443614,26.803143977039884,26.427657731127677,39.98893074784271,41.40759029529247,38.5170076639084,37.95619740471261,3681,55.97143661942383,8.494782418187372,61.85249035588155,3.1687041564792175
863609060549072.csv,0.5315779846569104,0.5287012482528639,0.5406060108161357,0.5474848735897204,16.203461635083976,16.19868735422431,16.016455834016604,15.622076234624535,21.41277641267358,21.478427284979514,21.20542530757975,21.046063850608896,0.7929970084544438,0.7911210614376736,0.7970335758347996,0.8028081414285604,21.39268276412523,21.314887558753266,21.420863350518918,20.467909553459098,29.51588841038795,29.649329382896887,29.226691072515084,28.807929067562913,4695,47.579344045236645,8.852203256055478,67.02130607028754,3.380404685835996
863609060549098.csv,0.4488711587589933,0.45835242184943104,0.4799954758910493,0.49798362732774093,18.088658049302357,18.06327927653081,17.695964062187727,17.179954624893075,23.70823182830179,23.503416608888447,23.02905711737148,22.627237566174617,0.7339822596464056,0.7332608786741631,0.7560359522566208,0.772814304318134,26.373214364130277,26.55445683353577,25.514309838373933,24.19836509358752,36.20955129405232,36.25861418126173,34.676140843059045,33.46249618984049,3322,41.435021912417355,7.531413414837624,62.44462432269717,3.3136664659843467
863609060549163.csv,0.5762704824516967,0.5855246851014584,0.6072410177701594,0.6045831175861718,28.834316351042435,29.153677075173682,28.17565194795192,27.822241679359884,37.326639313641415,36.91678446625676,35.93665032893825,36.05804154209976,0.8871190628656915,0.8861757431347617,0.8953905053149629,0.897382088855886,36.587348103543526,37.59894077472259,36.36565584540249,34.911431115771094,49.37030329869149,49.576162184331864,47.52707032543854,47.07247973512213,3397,64.39725243670861,9.115041276557433,65.99353458934354,3.6850161907565497
863609060553744.csv,0.721536391786002,0.746435988010753,0.7642752762806334,0.7682205632579355,20.03124949693825,19.301599986745035,18.317285344699528,17.517598276552945,26.075294281833305,24.882201500282918,23.990956489057265,23.78934293627812,0.8985777553343269,0.91227465885465,0.9224115336077686,0.9227099895504387,27.97948329972011,26.915404831038384,24.911245101876005,23.9340888731941,37.71132062086613,35.07257601522739,32.984029950584166,32.92052975947881,6209,63.71857077749339,8.24947185075616,68.89435255274601,3.7856337574488648
863609060555335.csv,0.6021896671348459,0.6188253272497797,0.6135068383410884,0.6224826731590362,13.606278564005201,13.208223182204737,13.396382526418048,13.124030570531714,17.989512145428538,17.609351978003634,17.731777101302765,17.524668067355183,0.8473746558477385,0.8444243353709784,0.847688302491732,0.8473080770343806,17.6408735111042,17.72260420379564,17.69283004847548,17.4221272615286,23.87593180395561,24.105593804848098,23.851386545195446,23.88113886145708,4640,41.442427280446715,8.94026058516374,72.92694439655172,3.372844827586207
863609060555871.csv,0.14239887789865413,0.03941707108339021,0.040373366030847624,-0.1327917334917248,19.872659161200033,21.92471287320205,21.492859469708883,24.189701422666893,27.365360703160494,28.96182591925015,28.947406058403846,31.450933636392534,0.5726134104297661,0.5456411241176944,0.5237353947917361,0.42840189711610865,22.9409570905431,25.8238243553615,25.773202942098308,29.1528100638554,31.444768808057706,32.42182585598927,33.19419294831349,36.36497973854916,388,45.86010677853438,8.695858358607484,93.47680154639174,3.902061855670103
863609060559451.csv,0.46168726730826104,0.49596171385437526,0.5108040413606342,0.5319938499996744,25.321267529147075,25.00764474301583,24.359402409105005,23.696838261577234,32.817360600970666,31.75543645014724,31.284394467004933,30.599343087702252,0.8117283165739264,0.8165275011621371,0.8268560045608311,0.8368269073127008,33.26461015529975,33.23631565694925,32.205791499841304,31.095313221517234,44.37542006503584,43.806187957202546,42.55530345598387,41.31181224007222,3169,76.40126017918828,11.21992814246893,83.65352256232251,3.800883559482487
863609060559592.csv,0.7464267004379148,0.760570020358071,0.7758751333295814,0.7786384224945049,16.1163103390782,15.572503322783549,14.735964483733678,14.163400519912566,23.40420084087741,22.74213952798219,22.00326237622245,21.867199942833807,0.8907271588426211,0.8990754700395733,0.9103426270501367,0.9133404677402603,22.87058558215425,21.829141951095224,20.301046972251832,19.162769745167036,33.851993899266255,32.53317910274486,30.663458795668273,30.14645895796219,9946,40.161009136472984,7.321246673257279,65.05832002815202,3.0125678664789866
